ticker,filename,size_bytes,status
HOFT,0001185185-25-000321.htm,1544095,ok
HOFT,0001185185-26-001420.htm,1655496,ok
HOUR,0001493152-24-011298.htm,1588212,ok
HOUR,0001493152-26-012278.htm,1567738,ok
HOUR,0001641172-25-000930.htm,1194942,ok
HVT,0001628280-24-009586.htm,1349372,ok
HVT,0001628280-25-010869.htm,1401860,ok
HVT,0001628280-26-012199.htm,1448174,ok
HZO,0000950170-23-064785.htm,4761631,ok
HZO,0000950170-24-127036.htm,3657799,ok
HZO,0001193125-25-284680.htm,4719308,ok
IMKTA,0000050493-23-000021.htm,4359364,ok
IMKTA,0000050493-24-000018.htm,4392082,ok
IMKTA,0000050493-25-000019.htm,4365384,ok
JILL,0000950170-24-041871.htm,2523675,ok
JILL,0000950170-25-048494.htm,3305475,ok
JILL,0001193125-26-134566.htm,3566002,ok
JRSH,0001213900-24-057324.htm,968934,ok
JRSH,0001213900-25-057935.htm,1001671,ok
JRSH,0001213900-26-070227.htm,1103555,ok
JWN,0000072333-23-000037.htm,2294111,ok
JWN,0000072333-24-000031.htm,1869897,ok
JWN,0000072333-25-000039.htm,2782231,ok
KMX,0001170010-24-000034.htm,2570965,ok
KMX,0001170010-25-000024.htm,2537669,ok
KMX,0001170010-26-000021.htm,2633568,ok
KOSS,0000056701-23-000026.htm,2473680,ok
KOSS,0000056701-24-000028.htm,2806471,ok
KOSS,0000056701-25-000044.htm,2681612,ok
KR,0001104659-26-037723.htm,4834025,ok
KR,0001558370-24-004603.htm,4689984,ok
KR,0001558370-25-004267.htm,4868610,ok
KSS,0000950170-24-034691.htm,1757697,ok
KSS,0000950170-25-042662.htm,1974808,ok
KSS,0001193125-26-115982.htm,2129657,ok
KTB,0001760965-24-000013.htm,2502143,ok
KTB,0001760965-25-000011.htm,2468221,ok
KTB,0001760965-26-000014.htm,2823606,ok
LAD,0001023128-24-000032.htm,2869210,ok
LAD,0001023128-25-000026.htm,3107241,ok
LAD,0001023128-26-000015.htm,3369553,ok
LAKE,0001193125-26-159176.htm,3586519,ok
LAKE,0001654954-24-004465.htm,1492374,ok
LAKE,0001654954-25-004352.htm,1651381,ok
LCUT,0000874396-26-000008.htm,2249421,ok
LCUT,0001628280-24-010568.htm,2299239,ok
LCUT,0001628280-25-012650.htm,2257499,ok
LE,0000950170-24-041066.htm,3108625,ok
LE,0000950170-25-046044.htm,3571012,ok
LE,0001193125-26-126210.htm,4075261,ok
LEG,0000058492-24-000174.htm,3679128,ok
LEG,0000058492-25-000136.htm,3685654,ok
LEG,0000058492-26-000107.htm,3698921,ok
