ticker,docs,parsed_docs,ocr_required_docs,chars,pages,sections,chunks,fallback_docs,low_conf_sections,sections_per_100k_chars,chars_per_section,chunks_per_section
NGVC,5,5,0,277875,186,42,151,0,1,15.114709851551957,6616.071428571428,3.5952380952380953
GPI,4,4,0,296641,161,46,148,0,0,15.506959590885954,6448.717391304348,3.217391304347826
AN,5,5,0,250304,156,39,118,0,0,15.581053439018154,6418.051282051282,3.0256410256410255
FND,2,2,0,147294,68,23,72,0,0,15.615028446508344,6404.086956521739,3.130434782608696
VVV,4,4,0,359917,204,57,207,0,0,15.836984638124902,6314.333333333333,3.6315789473684212
DG,4,4,0,368664,202,59,182,0,0,16.003732395894364,6248.542372881356,3.0847457627118646
CAL,4,4,0,261292,128,42,152,0,0,16.073970883149887,6221.238095238095,3.619047619047619
UPBD,1,1,0,99088,61,16,51,0,0,16.147263038914904,6193.0,3.1875
AEO,4,4,0,269805,162,44,149,0,0,16.308074349993515,6131.931818181818,3.3863636363636362
SONO,4,4,0,312697,179,51,172,0,0,16.309718353549922,6131.313725490196,3.372549019607843
ABG,4,4,0,326827,176,54,170,0,4,16.522502730802536,6052.351851851852,3.1481481481481484
MNRO,5,5,0,308327,181,51,143,0,0,16.540880299162904,6045.6274509803925,2.803921568627451
HOFT,2,2,0,117643,111,20,68,0,0,17.000586520234947,5882.15,3.4
LZB,5,5,0,425182,229,74,228,0,0,17.40431156540023,5745.7027027027025,3.081081081081081
COLM,4,4,0,372317,242,65,216,0,0,17.458241229919665,5727.953846153846,3.3230769230769233
W,5,5,0,339026,176,60,178,0,0,17.697757694100158,5650.433333333333,2.966666666666667
GO,3,3,0,234393,108,42,121,0,0,17.918623849688345,5580.785714285715,2.880952380952381
TDUP,4,4,0,211441,221,40,117,0,0,18.917806858650877,5286.025,2.925
LESL,4,4,0,279380,128,53,147,0,1,18.970577707781516,5271.320754716981,2.7735849056603774
PRTS,1,1,0,65921,56,13,32,0,0,19.72057462720529,5070.846153846154,2.4615384615384617
SFM,5,5,0,299076,195,61,172,0,1,20.39615348607043,4902.88524590164,2.819672131147541
SBH,4,4,0,141592,42,31,73,0,2,21.893892310300018,4567.4838709677415,2.3548387096774195
BIRD,4,4,0,127710,113,28,70,0,1,21.924673087463788,4561.071428571428,2.5
ACI,4,4,0,237089,107,53,135,0,1,22.35447448004758,4473.377358490566,2.547169811320755
CPNG,3,3,0,114940,60,26,60,0,3,22.62049765094832,4420.7692307692305,2.3076923076923075
WMK,4,4,0,122685,100,28,71,0,0,22.822675958756165,4381.607142857143,2.5357142857142856
CURV,3,3,0,192567,102,44,101,0,3,22.849190151999043,4376.522727272727,2.2954545454545454
SVV,4,4,0,187816,165,45,115,0,0,23.95962005366955,4173.688888888889,2.5555555555555554
DXLG,1,1,0,48259,22,12,29,0,0,24.865828135684534,4021.5833333333335,2.4166666666666665
GPRO,3,3,0,95859,96,24,51,0,0,25.036772759991237,3994.125,2.125
GCO,2,2,0,90673,66,24,50,0,0,26.468739316003663,3778.0416666666665,2.0833333333333335
FLXS,2,2,0,62795,28,18,34,0,0,28.664702603710488,3488.6111111111113,1.8888888888888888
BJ,1,1,0,48854,26,15,26,0,0,30.70372947967413,3256.9333333333334,1.7333333333333334
GIII,3,3,0,96837,88,33,55,0,2,34.077883453638584,2934.4545454545455,1.6666666666666667
FIVE,6,6,0,86292,51,31,49,0,0,35.92453529875307,2783.6129032258063,1.5806451612903225
HVT,1,1,0,29748,18,12,18,0,0,40.338846308995564,2479.0,1.5
