company_id,ticker,cik,name,sector,exchange
37,ATER,0001757715,ATERIAN INC,Broadline Retail,NASDAQ-NMS Stock Market
38,COOK,0001857853,TRAEGER INC,Broadline Retail,New York Stock Exchange (NYSE)
39,NWL,0000814453,NEWELL BRANDS INC,Broadline Retail,NASDAQ-NMS Stock Market
40,YHGJ,0001042187,YUNHONG GREEN CTI LTD,Broadline Retail,NASDAQ-NMS Stock Market
41,LCUT,0000874396,LIFETIME BRANDS INC,Broadline Retail,NASDAQ-NMS Stock Market
42,GES,0000912463,GUESS INC,Broadline Retail,New York Stock Exchange (NYSE)
43,AEO,0000919012,AMERN EAGLE OUTFITTERS INC,Broadline Retail,New York Stock Exchange (NYSE)
44,TLYS,0001524025,TILLY'S INC,Broadline Retail,New York Stock Exchange (NYSE)
45,CATO,0000018255,CATO CORP  -CL A,Broadline Retail,New York Stock Exchange (NYSE)
46,ROST,0000745732,ROSS STORES INC,Broadline Retail,NASDAQ-NMS Stock Market
47,TJX,0000109198,TJX COS INC (THE),Broadline Retail,New York Stock Exchange (NYSE)
48,DXLG,0000813298,DESTINATION XL GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market
49,GAP,0000039911,GAP INC,Broadline Retail,New York Stock Exchange (NYSE)
50,BURL,0001579298,BURLINGTON STORES INC,Broadline Retail,New York Stock Exchange (NYSE)
51,LE,0000799288,LANDS' END INC,Broadline Retail,NASDAQ-NMS Stock Market
52,BKE,0000885245,BUCKLE INC,Broadline Retail,New York Stock Exchange (NYSE)
53,DLTH,0001649744,DULUTH HOLDINGS INC,Broadline Retail,NASDAQ-NMS Stock Market
54,JILL,0001687932,J JILL INC,Broadline Retail,New York Stock Exchange (NYSE)
55,SFIX,0001576942,STITCH FIX INC,Broadline Retail,NASDAQ-NMS Stock Market
56,RVLV,0001746618,REVOLVE GROUP INC,Broadline Retail,New York Stock Exchange (NYSE)
57,URBN,0000912615,URBAN OUTFITTERS INC,Broadline Retail,NASDAQ-NMS Stock Market
58,DBGI,0001668010,DIGITAL BRANDS GRP INC,Broadline Retail,NASDAQ-NMS Stock Market
59,CURV,0001792781,TORRID HOLDINGS INC,Broadline Retail,New York Stock Exchange (NYSE)
60,VSXY,0001856437,VICTORIAS SECRET AND CO,Broadline Retail,New York Stock Exchange (NYSE)
61,AKA,0001865107,A.K.A. BRAND HOLD CORP,Broadline Retail,New York Stock Exchange (NYSE)
62,LVLU,0001780201,LULU'S FASHION LOUN HOLD INC,Broadline Retail,NASDAQ-NMS Stock Market
63,ANF,0001018840,ABERCROMBIE & FITCH  -CL A,Broadline Retail,New York Stock Exchange (NYSE)
64,PLCE,0001041859,CHILDRENS PLACE INC,Broadline Retail,NASDAQ-NMS Stock Market
65,CTRN,0001318484,CITI TRENDS INC,Broadline Retail,NASDAQ-NMS Stock Market
66,ZUMZ,0001318008,ZUMIEZ INC,Broadline Retail,NASDAQ-NMS Stock Market
67,XELB,0001083220,XCEL BRANDS INC,Broadline Retail,NASDAQ-NMS Stock Market
68,CAL,0000014707,CALERES INC,Broadline Retail,New York Stock Exchange (NYSE)
69,GCO,0000018498,GENESCO INC,Broadline Retail,New York Stock Exchange (NYSE)
70,FL,0000850209,FOOT LOCKER INC,Broadline Retail,New York Stock Exchange (NYSE)
71,BOOT,0001610250,BOOT BARN HOLDINGS INC,Broadline Retail,New York Stock Exchange (NYSE)
72,DBI,0001319947,DESIGNER BRANDS INC,Broadline Retail,New York Stock Exchange (NYSE)
73,SHOE,0000895447,SHOE STATION GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market
74,TDUP,0001484778,THREDUP INC,Broadline Retail,NASDAQ-NMS Stock Market
75,TLF,0000909724,TANDY LEATHER FACTORY INC,Broadline Retail,NASDAQ-NMS Stock Market
76,REAL,0001573221,REALREAL INC (THE),Broadline Retail,NASDAQ-NMS Stock Market
77,BBY,0000764478,BEST BUY CO INC,Broadline Retail,New York Stock Exchange (NYSE)
78,GME,0001326380,GAMESTOP CORP,Broadline Retail,New York Stock Exchange (NYSE)
79,HD,0000354950,HOME DEPOT INC,Broadline Retail,New York Stock Exchange (NYSE)
80,LOW,0000060667,LOWE'S COS INC,Broadline Retail,New York Stock Exchange (NYSE)
81,FND,0001507079,FLOOR & DECOR HLDGS,Broadline Retail,New York Stock Exchange (NYSE)
82,GRWG,0001604868,GROWGENERATION CORP,Broadline Retail,NASDAQ-NMS Stock Market
83,POWW,0001015383,OUTDOOR HOLDING CO,Broadline Retail,NASDAQ-NMS Stock Market
84,HZO,0001057060,MARINEMAX INC,Broadline Retail,New York Stock Exchange (NYSE)
85,FLWS,0001084869,1-800-FLOWERS.COM,Broadline Retail,NASDAQ-NMS Stock Market
86,GROV,0001841761,GROVE COLLABORATIVE HLDG INC,Broadline Retail,New York Stock Exchange (NYSE)
87,FIVE,0001177609,FIVE BELOW INC,Broadline Retail,NASDAQ-NMS Stock Market
88,PETS,0001040130,PETMED EXPRESS INC,Broadline Retail,NASDAQ-NMS Stock Market
89,BBWI,0000701985,BATH & BODY WORKS INC,Broadline Retail,New York Stock Exchange (NYSE)
90,SBH,0001368458,SALLY BEAUTY HOLDINGS INC,Broadline Retail,New York Stock Exchange (NYSE)
91,ULTA,0001403568,ULTA BEAUTY INC,Broadline Retail,NASDAQ-NMS Stock Market
92,EYE,0001710155,NATIONAL VISION HOLDINGS INC,Broadline Retail,NASDAQ-NMS Stock Market
93,WRBY,0001504776,WARBY PARKER INC,Broadline Retail,New York Stock Exchange (NYSE)
94,BRLT,0001866757,BRILLIANT EARTH GP INC,Broadline Retail,NASDAQ-NMS Stock Market
95,SPWH,0001132105,SPORTSMANS WAREHOUSE HLDGS,Broadline Retail,NASDAQ-NMS Stock Market
96,ASO,0001817358,ACADEMY SPO AND OU INC,Broadline Retail,NASDAQ-NMS Stock Market
97,DKS,0001089063,DICKS SPORTING GOODS INC,Broadline Retail,New York Stock Exchange (NYSE)
98,BARK,0001819574,BARK INC,Broadline Retail,New York Stock Exchange (NYSE)
99,BBW,0001113809,BUILD-A-BEAR WORKSHOP INC,Broadline Retail,New York Stock Exchange (NYSE)
100,BNED,0001634117,BARNES & NOBLE EDUCATION INC,Broadline Retail,New York Stock Exchange (NYSE)
101,CHWY,0001766502,CHEWY INC,Broadline Retail,New York Stock Exchange (NYSE)
102,WOOF,0001826470,PETCO HEALTH AND WELLNESS CO,Broadline Retail,NASDAQ-NMS Stock Market
103,PEW,0002051380,GRABAGUN DIGITAL HOLDING INC,Broadline Retail,New York Stock Exchange (NYSE)
104,TSCO,0000916365,TRACTOR SUPPLY CO,Broadline Retail,NASDAQ-NMS Stock Market
105,LESL,0001821806,LESLIE'S INC,Broadline Retail,NASDAQ-NMS Stock Market
106,UPBD,0000933036,UPBOUND GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market
107,RENT,0001468327,RENT THE RUNWAY INC,Broadline Retail,NASDAQ-NMS Stock Market
108,WINA,0000908315,WINMARK CORP,Broadline Retail,NASDAQ-NMS Stock Market
109,MNRO,0000876427,MONRO INC,Broadline Retail,NASDAQ-NMS Stock Market
111,AN,0000350698,AUTONATION INC,Broadline Retail,New York Stock Exchange (NYSE)
112,PAG,0001019849,PENSKE AUTOMOTIVE GROUP INC,Broadline Retail,New York Stock Exchange (NYSE)
113,LAD,0001023128,LITHIA MOTORS INC  -CL A,Broadline Retail,New York Stock Exchange (NYSE)
114,SAH,0001043509,SONIC AUTOMOTIVE INC  -CL A,Broadline Retail,New York Stock Exchange (NYSE)
115,GPI,0001031203,GROUP 1 AUTOMOTIVE INC,Broadline Retail,New York Stock Exchange (NYSE)
116,ABG,0001144980,ASBURY AUTOMOTIVE GROUP INC,Broadline Retail,New York Stock Exchange (NYSE)
117,CRMT,0000799850,AMERICA'S CAR-MART INC,Broadline Retail,NASDAQ-NMS Stock Market
118,CVNA,0001690820,CARVANA CO,Broadline Retail,New York Stock Exchange (NYSE)
119,KMX,0001170010,CARMAX INC,Broadline Retail,New York Stock Exchange (NYSE)
120,CWH,0001669779,CAMPING WORLD HOLDINGS INC,Broadline Retail,New York Stock Exchange (NYSE)
121,ONEW,0001772921,ONEWATER MARINE INC,Broadline Retail,NASDAQ-NMS Stock Market
122,RDNW,0001596961,RIDENOW GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market
123,AZO,0000866787,AUTOZONE INC,Broadline Retail,New York Stock Exchange (NYSE)
124,ORLY,0000898173,O'REILLY AUTOMOTIVE INC,Broadline Retail,NASDAQ-NMS Stock Market
125,AAP,0001158449,ADVANCE AUTO PARTS INC,Broadline Retail,New York Stock Exchange (NYSE)
126,PRTS,0001378950,CARPARTS COM INC,Broadline Retail,NASDAQ-NMS Stock Market
127,MUSA,0001573516,MURPHY USA INC,Broadline Retail,New York Stock Exchange (NYSE)
128,ARKO,0001823794,ARKO CORP,Broadline Retail,NASDAQ-NMS Stock Market
129,VVV,0001674910,VALVOLINE INC,Broadline Retail,New York Stock Exchange (NYSE)
130,EVGO,0001821159,EVGO INC,Broadline Retail,NASDAQ-NMS Stock Market
131,SNBR,0000827187,SLEEP NUMBER CORP,Broadline Retail,NASDAQ-NMS Stock Market
132,HVT,0000216085,HAVERTY FURNITURE,Broadline Retail,New York Stock Exchange (NYSE)
133,WSM,0000719955,WILLIAMS-SONOMA INC,Broadline Retail,New York Stock Exchange (NYSE)
134,ARHS,0001875444,ARHAUS INC,Broadline Retail,NASDAQ-NMS Stock Market
135,BOBS,0002085187,BOBS DISCOUNT FURNITURE INC,Broadline Retail,New York Stock Exchange (NYSE)
136,RH,0001528849,RH,Broadline Retail,New York Stock Exchange (NYSE)
137,BBBY,0001130713,BED BATH & BEYOND INC,Broadline Retail,New York Stock Exchange (NYSE)
138,W,0001616707,WAYFAIR INC,Broadline Retail,New York Stock Exchange (NYSE)
140,SGC,0000095574,SUPERIOR GROUP OF COS INC,Broadline Retail,NASDAQ-NMS Stock Market
141,VFC,0000103379,VF CORP,Broadline Retail,New York Stock Exchange (NYSE)
142,OXM,0000075288,OXFORD INDUSTRIES INC,Broadline Retail,New York Stock Exchange (NYSE)
143,PVH,0000078239,PVH CORP,Broadline Retail,New York Stock Exchange (NYSE)
144,LEVI,0000094845,LEVI STRAUSS & CO,Broadline Retail,New York Stock Exchange (NYSE)
145,VNCE,0001579157,VINCE HOLDING CORP,Broadline Retail,NASDAQ-NMS Stock Market
146,JRSH,0001696558,JERASH HOLDINGS (US),Broadline Retail,NASDAQ-NMS Stock Market
147,KTB,0001760965,KONTOOR BRANDS INC,Broadline Retail,New York Stock Exchange (NYSE)
148,PLBY,0001803914,PLAYBOY INC,Broadline Retail,NASDAQ-NMS Stock Market
149,FIGS,0001846576,FIGS INC,Broadline Retail,New York Stock Exchange (NYSE)
150,RL,0001037038,RALPH LAUREN CORP,Broadline Retail,New York Stock Exchange (NYSE)
151,COLM,0001050797,COLUMBIA SPORTSWEAR CO,Broadline Retail,NASDAQ-NMS Stock Market
152,CRI,0001060822,CARTER'S INC,Broadline Retail,New York Stock Exchange (NYSE)
153,UAA,0001336917,UNDER ARMOUR INC,Broadline Retail,New York Stock Exchange (NYSE)
154,LULU,0001397187,LULULEMON ATHLETICA INC,Broadline Retail,NASDAQ-NMS Stock Market
155,GIII,0000821002,G-III APPAREL GROUP LTD,Broadline Retail,NASDAQ-NMS Stock Market
156,TPR,0001116132,TAPESTRY INC,Broadline Retail,New York Stock Exchange (NYSE)
157,VRA,0001495320,VERA BRADLEY INC,Broadline Retail,NASDAQ-NMS Stock Market
158,MOV,0000072573,MOVADO GROUP INC,Broadline Retail,New York Stock Exchange (NYSE)
159,FOSL,0000883569,FOSSIL GROUP INC,Broadline Retail,NASDAQ-NMS Stock Market
160,LAKE,0000798081,LAKELAND INDUSTRIES INC,Broadline Retail,NASDAQ-NMS Stock Market
161,WWW,0000110471,WOLVERINE WORLD WIDE,Broadline Retail,New York Stock Exchange (NYSE)
162,DECK,0000910521,DECKERS OUTDOOR CORP,Broadline Retail,New York Stock Exchange (NYSE)
163,NKE,0000320187,NIKE INC  -CL B,Broadline Retail,New York Stock Exchange (NYSE)
164,RCKY,0000895456,ROCKY BRANDS INC,Broadline Retail,NASDAQ-NMS Stock Market
165,SHOO,0000913241,MADDEN STEVEN LTD,Broadline Retail,NASDAQ-NMS Stock Market
166,BIRD,0001653909,ALLBIRDS INC,Broadline Retail,NASDAQ-NMS Stock Market
167,CROX,0001334036,CROCS INC,Broadline Retail,NASDAQ-NMS Stock Market
168,MGRX,0001938046,MANGOCEUTICALS INC,Broadline Retail,NASDAQ-NMS Stock Market
169,CART,0001579091,MAPLEBEAR INC,Broadline Retail,NASDAQ-NMS Stock Market
170,VLGEA,0000103595,VILLAGE SUPER MARKET  -CL A,Broadline Retail,NASDAQ-NMS Stock Market
171,WMK,0000105418,WEIS MARKETS INC,Broadline Retail,New York Stock Exchange (NYSE)
172,KR,0000056873,KROGER CO,Broadline Retail,New York Stock Exchange (NYSE)
173,IMKTA,0000050493,INGLES MARKETS INC  -CL A,Broadline Retail,NASDAQ-NMS Stock Market
174,SFM,0001575515,SPROUTS FARMERS MARKET,Broadline Retail,NASDAQ-NMS Stock Market
175,ACI,0001646972,ALBERTSONS COS INC,Broadline Retail,New York Stock Exchange (NYSE)
176,MSS,0001892292,MAISON SOLUTIONS INC,Broadline Retail,NASDAQ-NMS Stock Market
177,GO,0001771515,GROCERY OUTLET HLDNG CORP,Broadline Retail,NASDAQ-NMS Stock Market
178,NGVC,0001547459,NATURAL GROCERS VITAMIN CTGE,Broadline Retail,New York Stock Exchange (NYSE)
179,CASY,0000726958,CASEYS GENERAL STORES INC,Broadline Retail,NASDAQ-NMS Stock Market
180,YSWY,0001859836,YESWAY INC,Broadline Retail,NASDAQ-NMS Stock Market
181,REBN,0001707910,REBORN COFFEE INC,Broadline Retail,NASDAQ-NMS Stock Market
182,COST,0000909832,COSTCO WHOLESALE CORP,Broadline Retail,NASDAQ-NMS Stock Market
183,BJ,0001531152,BJS WHSL CLUB HLDGS INC,Broadline Retail,New York Stock Exchange (NYSE)
184,DG,0000029534,DOLLAR GENERAL CORP,Broadline Retail,New York Stock Exchange (NYSE)
185,TGT,0000027419,TARGET CORP,Broadline Retail,New York Stock Exchange (NYSE)
186,WMT,0000104169,WALMART INC,Broadline Retail,NASDAQ-NMS Stock Market
187,DLTR,0000935703,DOLLAR TREE INC,Broadline Retail,NASDAQ-NMS Stock Market
188,PSMT,0001041803,PRICESMART INC,Broadline Retail,NASDAQ-NMS Stock Market
189,AAPL,0000320193,APPLE INC,Broadline Retail,NASDAQ-NMS Stock Market
190,CVS,0000064803,CVS HEALTH CORP,Broadline Retail,New York Stock Exchange (NYSE)
191,DELL,0001571996,DELL TECHNOLOGIES INC,Broadline Retail,New York Stock Exchange (NYSE)
192,T,0000732717,AT&T INC,Broadline Retail,New York Stock Exchange (NYSE)
193,VZ,0000732712,VERIZON COMMUNICATIONS INC,Broadline Retail,New York Stock Exchange (NYSE)
194,XOM,0000034088,EXXON MOBIL CORP,Broadline Retail,New York Stock Exchange (NYSE)
195,TBHC,0001056285,"BRAND HOUSE COLLECTIVE, INC.",Retail,NASDAQ
