ticker,drive_folder_id,drive_folder_url,pdf_file,drive_file_id,drive_file_url,size_bytes
AAP,1pvIpprpec-UK5EARG6kPAfwwkedeE1Ur,https://drive.google.com/drive/folders/1pvIpprpec-UK5EARG6kPAfwwkedeE1Ur,AAP-ADVANCE AUTO PARTS INC-2021.pdf,1Mcc6pv1njMKbkxvZ2lCJPg4jKYcEe_7b,https://drive.google.com/file/d/1Mcc6pv1njMKbkxvZ2lCJPg4jKYcEe_7b/view,34004941
AAP,1pvIpprpec-UK5EARG6kPAfwwkedeE1Ur,https://drive.google.com/drive/folders/1pvIpprpec-UK5EARG6kPAfwwkedeE1Ur,AAP-ADVANCE AUTO PARTS INC-2022.pdf,1Lb3KFmr6IFI8O9n8oPDBGTeQrJBKI2sy,https://drive.google.com/file/d/1Lb3KFmr6IFI8O9n8oPDBGTeQrJBKI2sy/view,39878419
AAPL,1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,https://drive.google.com/drive/folders/1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,AAPL-APPLE INC-2021.pdf,1Tl7eJi-89LIlZTYF6jDTaVx92Q7XKSNn,https://drive.google.com/file/d/1Tl7eJi-89LIlZTYF6jDTaVx92Q7XKSNn/view,3131079
AAPL,1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,https://drive.google.com/drive/folders/1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,AAPL-APPLE INC-2022.pdf,1EXE28nIM2WJT5_7kWxS2UeaW6qSUdxP2,https://drive.google.com/file/d/1EXE28nIM2WJT5_7kWxS2UeaW6qSUdxP2/view,9324447
AAPL,1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,https://drive.google.com/drive/folders/1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,AAPL-APPLE INC-2023.pdf,111o6w7mep368j6wjt6CIbPkbbRfjx928,https://drive.google.com/file/d/111o6w7mep368j6wjt6CIbPkbbRfjx928/view,15806770
AAPL,1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,https://drive.google.com/drive/folders/1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,AAPL-APPLE INC-2024.pdf,1xj3jPaa7qhLTbzEz0KrjxXUky1dNT5B_,https://drive.google.com/file/d/1xj3jPaa7qhLTbzEz0KrjxXUky1dNT5B_/view,22928608
AAPL,1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,https://drive.google.com/drive/folders/1q9GHuM4Lh3OWO3mf0dorLVgQz2-TA95T,AAPL-APPLE INC-2025.pdf,1TpDbCqBhJn0v22shdRXVfpcrlChST6lv,https://drive.google.com/file/d/1TpDbCqBhJn0v22shdRXVfpcrlChST6lv/view,23549534
ABG,1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,https://drive.google.com/drive/folders/1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,ABG-ASBURY AUTOMOTIVE GROUP INC-2021.pdf,13zw7nrD4CVxyU1ZQnKanRy8wJfwzdHTm,https://drive.google.com/file/d/13zw7nrD4CVxyU1ZQnKanRy8wJfwzdHTm/view,9896223
ABG,1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,https://drive.google.com/drive/folders/1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,ABG-ASBURY AUTOMOTIVE GROUP INC-2022.pdf,1iGIPN0fGhiigIE9YnnAeuiu68aFbMzSU,https://drive.google.com/file/d/1iGIPN0fGhiigIE9YnnAeuiu68aFbMzSU/view,20427846
ABG,1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,https://drive.google.com/drive/folders/1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,ABG-ASBURY AUTOMOTIVE GROUP INC-2023.pdf,1Q5ZvYkvlkQO9sbCrNqBJy0pp0Pwb8MMV,https://drive.google.com/file/d/1Q5ZvYkvlkQO9sbCrNqBJy0pp0Pwb8MMV/view,19147279
ABG,1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,https://drive.google.com/drive/folders/1k4Uoj4nu2e-RxkIFu6MiU7AY0JVQNpCh,ABG-ASBURY AUTOMOTIVE GROUP INC-2025.pdf,1ixRe-CxWN_rcw6tSzHjUen-7p0MTrLVs,https://drive.google.com/file/d/1ixRe-CxWN_rcw6tSzHjUen-7p0MTrLVs/view,6146880
ACI,1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,https://drive.google.com/drive/folders/1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,ACI-ALBERTSONS COS INC-2021-2022.pdf,1UycHgQWfl_KiMHSvTd3v9cVnMOiI5Q1l,https://drive.google.com/file/d/1UycHgQWfl_KiMHSvTd3v9cVnMOiI5Q1l/view,9656950
ACI,1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,https://drive.google.com/drive/folders/1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,ACI-ALBERTSONS COS INC-2023.pdf,1L_3jQkthLqDAU6vtdeANJFZ2SkOUkUtQ,https://drive.google.com/file/d/1L_3jQkthLqDAU6vtdeANJFZ2SkOUkUtQ/view,6686701
ACI,1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,https://drive.google.com/drive/folders/1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,ACI-ALBERTSONS COS INC-2024.pdf,1Id2R8Is7B_7eFg1bFtMGhrrK8n1VboTh,https://drive.google.com/file/d/1Id2R8Is7B_7eFg1bFtMGhrrK8n1VboTh/view,22920872
ACI,1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,https://drive.google.com/drive/folders/1r7VzdsI83ZzI75wqLeG-XZCAfk1z8J8g,ACI-ALBERTSONS COS INC-2025.pdf,1FOvhCnri27tJatdx_gE01BwAKQ3oeCMn,https://drive.google.com/file/d/1FOvhCnri27tJatdx_gE01BwAKQ3oeCMn/view,7333800
AEO,1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,https://drive.google.com/drive/folders/1EDz1ubGbTuVEOaoDifIVOtSaQpSgQAwi,AEO-AMERICAN EAGLE OUTFITTERS INC-2021.pdf,1EXJFW4QtK6QPpARZE0SRV3U1FMQ2q4Aq,https://drive.google.com/file/d/1EXJFW4QtK6QPpARZE0SRV3U1FMQ2q4Aq/view,35840855
