logical_source_id,source_version_id,extraction_artifact_id,ticker,pdf_stem,page,source_page_sha256,before_text_sha256,after_text_sha256,detection_signal,action,verification_result,ocr_engine,created_at,active
ls_ee62bb790aab82141b9ca51b,sv_e8910f7092ad6a793c5b61ba,ea_8753330b65f0b710d0765aa3,TJX,TJX-TJX COS INC (THE)-2018,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:00:37.435736+00:00,false
ls_ee62bb790aab82141b9ca51b,sv_e8910f7092ad6a793c5b61ba,ea_8753330b65f0b710d0765aa3,TJX,TJX-TJX COS INC (THE)-2018,22,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1309cb1d8c616f3376fc9a8a9eeedc83a1c85ebe632a5499300abac1eca21bb3,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:00:37.435736+00:00,true
ls_ee62bb790aab82141b9ca51b,sv_e8910f7092ad6a793c5b61ba,ea_8753330b65f0b710d0765aa3,TJX,TJX-TJX COS INC (THE)-2018,39,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4519b0e6f8632c23ab71489c306366eeb386f7c659733825515ee9e5811c42e3,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:00:37.435736+00:00,true
ls_ee62bb790aab82141b9ca51b,sv_e8910f7092ad6a793c5b61ba,ea_8753330b65f0b710d0765aa3,TJX,TJX-TJX COS INC (THE)-2018,88,5011da181891d45ed02c6925cdda2f8f6a69a06197f8cd512e07d3718ded5edf,5011da181891d45ed02c6925cdda2f8f6a69a06197f8cd512e07d3718ded5edf,f927f0ef49115a9d2c6bef6914d9d170904564028e764f1f68699f20f3fc85af,garbled_or_low_readable_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:00:37.435736+00:00,true
ls_d5d2114a0ea88ae642cac7d0,sv_bd6adb6e4adea733ad3abaa6,ea_86193e19b7f4bf5917b815b2,FL,FL-FOOT LOCKER INC-2023,58,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ba818d4b3b1b1ff6ead3d3a2047b3ea8c9baeb947c530bf50bdf4a8017cbb02f,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:01:03.345280+00:00,true
ls_d5d2114a0ea88ae642cac7d0,sv_bd6adb6e4adea733ad3abaa6,ea_86193e19b7f4bf5917b815b2,FL,FL-FOOT LOCKER INC-2023,77,ddc01b5aa1cf6f844eb2100efdccc7b5a5b0236b2f5e66c9ec23eb5ba71206f6,ddc01b5aa1cf6f844eb2100efdccc7b5a5b0236b2f5e66c9ec23eb5ba71206f6,ddc01b5aa1cf6f844eb2100efdccc7b5a5b0236b2f5e66c9ec23eb5ba71206f6,garbled_or_low_readable_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:03.345280+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,16666aab6717067a3dbf31b75a7d9d39aeea03473fa00b054f03c547c55dc168,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:01:58.437732+00:00,true
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),11,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2cf049694f84c96d0cdaececddc277a265297a3adbb21a9fec9c8f1158ac96,empty_text,approved_page_override,verified_quality_improvement,tesseract.EXE,2026-07-24T16:01:58.437732+00:00,true
ls_88e5ce01b8da7a38a5ee4388,sv_1c549320186bb4d5924d6668,ea_1cd104dc26b0d3214a3d9c05,PTRN,PTRN-Pattern Group-2024(Italian),15,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,empty_text,manual_review_hold,ocr_not_verified_or_not_better,,2026-07-24T16:01:58.437732+00:00,false
