accession_number,ticker,last_checked_at,n_filings_known,download_status,drive_file_id
0001493152-24-011298,HOUR,2026-06-30T10:36:52.144604+00:00,1,downloaded,1IMLfnVCebWwMrshuFbSGe-Q1Zd7WKGlw
0001883313-26-000014,SVV,2026-06-30T10:36:56.618446+00:00,1,downloaded,1Gv0_FZiIu-BIvS9a7434Nne8kc8I4v6_
0001883313-25-000013,SVV,2026-06-30T10:37:03.247397+00:00,1,downloaded,1lunSDWFi6_KbntOo-SPS1cOLqXKWsgTM
0001883313-24-000013,SVV,2026-06-30T10:37:09.151193+00:00,1,downloaded,1WV57kIUnbOcUJ6UPGLB3lnhgDJVqe7fS
0001811935-26-000013,PTRN,2026-06-30T10:37:15.204016+00:00,1,downloaded,1qId47fRy-Bn74Px6rnwDyP2dNrGZUXOK
0001370637-26-000019,ETSY,2026-06-30T10:37:23.053313+00:00,1,downloaded,1JUwW9HoJ4R5T_jUjd6AMGQMHQGN6Hehh
0001370637-25-000017,ETSY,2026-06-30T10:37:34.109591+00:00,1,downloaded,1V2zT1d9B-zTsik9dBMoJZejtGqL9lEos
0001370637-24-000013,ETSY,2026-06-30T10:37:41.951942+00:00,1,downloaded,1ANYpak94DWn454yqmofSi2uv2_rGz2SC
0000912463-25-000028,GES,2026-06-30T10:37:55.172946+00:00,1,downloaded,1cxiTpBu_lkPSCOKKmEDc_urocWg2Dgh3
0000912463-24-000029,GES,2026-06-30T10:38:04.505075+00:00,1,downloaded,10X08egA5ix9p3fl0az2B0z0EAl9e3ZVe
0000912463-23-000014,GES,2026-06-30T10:38:10.193875+00:00,1,downloaded,1NNkVafh0b1lkeIdLvoxJRk7S0ZAKnbyh
0001193125-26-132097,AEO,2026-06-30T10:38:16.430474+00:00,1,downloaded,1K7acGOXn2xknDy_yUH43v3i8eEi9QDi-
0000950170-25-042746,AEO,2026-06-30T10:38:27.551918+00:00,1,downloaded,1bLFHctPVfeuLa4vnRSBrv2MX8J6HzSuj
0000950170-24-032294,AEO,2026-06-30T10:38:35.438054+00:00,1,downloaded,1L1VVtHxV290hwBKFkZemalVhvUDY8RcW
0001628280-26-024440,TLYS,2026-06-30T10:38:41.742629+00:00,1,downloaded,1d0vkJl3qjcmXpmEP-nD3L2JmpKaZX9e_
0001628280-25-017352,TLYS,2026-06-30T10:38:53.253123+00:00,1,downloaded,1EDY9jmL_ZviYFnL5Jy8xggFzWAX8lIvn
0001628280-24-015839,TLYS,2026-06-30T10:38:57.227262+00:00,1,downloaded,1cozSi-jcW247WfumaFtwqpZkHvkwngQE
0001562762-26-000041,CATO,2026-06-30T10:39:01.487471+00:00,1,downloaded,1SvbW4M82dKC6Hy-cAXd19U7jfALzriik
0001562762-25-000062,CATO,2026-06-30T10:39:14.169935+00:00,1,downloaded,1WnGnZ5hVEyJYdwyazUmQiRAEgzH51ckf
0001562762-24-000065,CATO,2026-06-30T10:39:18.977662+00:00,1,downloaded,1uzeG14Bef6aNocj97B_OXtgzSL11KoUD
0000745732-26-000006,ROST,2026-06-30T10:39:27.947330+00:00,1,downloaded,1eIXq6H1bIkfpe69CVU0oWP7dMnKnEQjj
0000745732-25-000010,ROST,2026-06-30T10:39:34.197047+00:00,1,downloaded,1R3j20KL9Yn_LtVeJ4W6m_dJHHMHELBDt
0000745732-24-000009,ROST,2026-06-30T10:39:38.762372+00:00,1,downloaded,1jI1pcdCLyY0ku9kp0BkUH2oFFuCP8lLG
0000109198-26-000008,TJX,2026-06-30T10:39:49.410142+00:00,1,downloaded,1j-Z5enG2Y_uywVYgVt6kvhjC07_77zEn
0000109198-25-000010,TJX,2026-06-30T10:39:57.329978+00:00,1,downloaded,1aDmwrc_HxXnFFwdNM2wwIDly3Gt9TRaP
0000109198-24-000014,TJX,2026-06-30T10:40:04.032616+00:00,1,downloaded,11fIBULfMffYQ2LQ2eluPAQKhF0YUQphw
0001193125-26-115660,DXLG,2026-06-30T10:40:09.236406+00:00,1,downloaded,1eZIHz49KHIz-D8abkRsJWW0aolMB8kBp
0000950170-25-042703,DXLG,2026-06-30T10:40:23.182796+00:00,1,downloaded,1DAtdnlxRukjYAxi_U9rz494E-6QPiGw1
0000950170-24-034763,DXLG,2026-06-30T10:40:28.586907+00:00,1,downloaded,1eK75FZdnzOZ5TzlqFwDnKYii21wWZp2T
0001193125-26-116001,BURL,2026-06-30T10:40:34.149422+00:00,1,downloaded,1u_gJsIJdufup2874Y-pF7EaojppJxEsO
0000950170-25-040472,BURL,2026-06-30T10:40:46.591405+00:00,1,downloaded,1ONXGnxOE2DqPdsdfOha-ggyfwlB_syMc
0000950170-24-032207,BURL,2026-06-30T10:40:54.587760+00:00,1,downloaded,1uk03XXwV9YJ_c4RXwl9pXaF8doN48Zup
0001193125-26-126210,LE,2026-06-30T10:41:00.603870+00:00,1,downloaded,13SGGwWAcU_a6hSq6HalpxzYSOfj_PTE_
0000950170-25-046044,LE,2026-06-30T10:41:12.524992+00:00,1,downloaded,1E8imXFuzpwmF4LFRqemiu6odjmJ4nMq9
0000950170-24-041066,LE,2026-06-30T10:41:17.746362+00:00,1,downloaded,10YXL9jOpejvjSr45FDLCztizHP6ljlA0
0000885245-26-000012,BKE,2026-06-30T10:41:24.926971+00:00,1,downloaded,1yfnU1KhofxsWAN7-V54hAeIumuKj55Ea
0000885245-25-000052,BKE,2026-06-30T10:41:30.533066+00:00,1,downloaded,1N5kBKwdRGS2_Ftfx0oCfTPLiDX25092c
0000885245-24-000051,BKE,2026-06-30T10:41:34.439753+00:00,1,downloaded,1jUGM6oAIp2Dv_IYpJ4nyMJSHmQkWggqu
0001193125-26-117508,DLTH,2026-06-30T10:41:38.957332+00:00,1,downloaded,1pgNTMnuOSB0aqitmANNuHR3fvZBFp9Kw
0001649744-25-000006,DLTH,2026-06-30T10:41:49.197741+00:00,1,downloaded,14KYGaFo4Ot5I9ga1mLXB39eHymBhHRG3
0001649744-24-000006,DLTH,2026-06-30T10:41:55.967355+00:00,1,downloaded,1uX9ZjACfn2PSeevmw2-pL_-y2TLX3w2E
0001193125-26-134566,JILL,2026-06-30T10:42:01.933566+00:00,1,downloaded,1N_9wX79fDTjGKyUBjXMZBacTC_B94I3y
0000950170-25-048494,JILL,2026-06-30T10:42:09.856294+00:00,1,downloaded,1_1Tq4UKqpjG7pL8IpIuZ1Kz-4nE1JpL1
0000950170-24-041871,JILL,2026-06-30T10:42:15.497374+00:00,1,downloaded,1Kz-ORjR7FTJa3FeHtenLZNNugs3hXDqP
0001628280-25-042782,SFIX,2026-06-30T10:42:20.491223+00:00,1,downloaded,1n5zc4DGvzW6ci2U2suh0tkPgML55E2uM
0001576942-24-000099,SFIX,2026-06-30T10:42:26.657485+00:00,1,downloaded,1RHcbK9OOYzA8uEupxC7ir4EbRM6Bdi5l
0001576942-23-000114,SFIX,2026-06-30T10:42:32.899128+00:00,1,downloaded,1iFD1SpcUwcg6d7oNvUKEMAxi6dcvudi7
0001193125-26-071307,RVLV,2026-06-30T10:42:37.041895+00:00,1,downloaded,1H52A1Axd-5K6yizromkJbemW-cxj5uxd
0000950170-25-026748,RVLV,2026-06-30T10:42:46.190985+00:00,1,downloaded,1G7OrBy3xBXxNZFpHLciQMe15TuvqhRzi
0000950170-24-021244,RVLV,2026-06-30T10:42:53.427674+00:00,1,downloaded,1R3VuTU2jLWEgFBb-OX6-Ro1RlsZv4UBW
0001193125-26-137916,URBN,2026-06-30T10:42:58.638986+00:00,1,downloaded,17wkSKz1u3xrcpR72lJ9W_AzVR3g_14Qi
0000950170-25-048506,URBN,2026-06-30T10:43:07.254004+00:00,1,downloaded,1kY5GjwPMrXE2ufsyoTxjKndziUOiHs6Y
0000950170-24-039320,URBN,2026-06-30T10:43:13.324362+00:00,1,downloaded,1919gSwglAEYnoaA3FZID5GomHwdnQYQe
0001493152-26-016851,DBGI,2026-06-30T10:43:19.843729+00:00,1,downloaded,1fI1jhAB42k6S7eJzeSULeV6uI9fS4mFS
0001641172-25-003320,DBGI,2026-06-30T10:43:26.980823+00:00,1,downloaded,1ywWvwtZ_H0k4_y7WejzU0uonaE7JUF6w
0001104659-24-047365,DBGI,2026-06-30T10:43:31.231839+00:00,1,downloaded,1rq6pXK7CQ5yNfXmp8EjQdJcHcdoQXplK
0001792781-26-000007,CURV,2026-06-30T10:43:35.882944+00:00,1,downloaded,1jid2ljKdty5wJSoMJ-5DHVzDBAooXBAg
0001628280-25-015891,CURV,2026-06-30T10:43:42.134146+00:00,1,downloaded,1PNNSf-3_ANBO_Zu_1I8HK0uvsPJX2RQY
