ticker,pdf_file,page,lines_table_area_share,lines_table_count,share_excl_frames_090,share_excl_frames_080,share_excl_frames_095,largest_table_share,largest_table_cells,n_frames_excluded_090,error
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,8,0.4237799632412256,8,0.4237799632412256,0.4237799632412256,0.4237799632412256,0.3570409982174688,3,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,9,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,11,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,12,0.5082811349988858,1,0.5082811349988858,0.5082811349988858,0.5082811349988858,0.5082811349988858,7,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,13,0.5459394568128176,1,0.5459394568128176,0.5459394568128176,0.5459394568128176,0.5459394568128176,12,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,14,0.2615314740349265,1,0.2615314740349265,0.2615314740349265,0.2615314740349265,0.2615314740349265,9,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,17,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,18,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,19,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,23,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,24,0.0417568924539512,4,0.0417568924539512,0.0417568924539512,0.0417568924539512,0.0104392231134878,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,25,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,26,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,27,0.0169866970357166,1,0.0169866970357166,0.0169866970357166,0.0169866970357166,0.0169866970357166,2,0,
