company,section_code,char_count,file
ABG,HEADER,60277,data\03_sections\ABG__10-K__0001144980-26-000051__HEADER.txt
ABG,Item_1,44346,data\03_sections\ABG__10-K__0001144980-26-000051__Item_1.txt
ABG,Item_1A,78604,data\03_sections\ABG__10-K__0001144980-26-000051__Item_1A.txt
ABG,Item_1B,41,data\03_sections\ABG__10-K__0001144980-26-000051__Item_1B.txt
ABG,Item_1C,7366,data\03_sections\ABG__10-K__0001144980-26-000051__Item_1C.txt
ABG,Item_2,930,data\03_sections\ABG__10-K__0001144980-26-000051__Item_2.txt
ABG,Item_3,4188,data\03_sections\ABG__10-K__0001144980-26-000051__Item_3.txt
ABG,Item_4,77,data\03_sections\ABG__10-K__0001144980-26-000051__Item_4.txt
ABG,Item_5,4424,data\03_sections\ABG__10-K__0001144980-26-000051__Item_5.txt
ABG,Item_6,16,data\03_sections\ABG__10-K__0001144980-26-000051__Item_6.txt
ABG,Item_7,72685,data\03_sections\ABG__10-K__0001144980-26-000051__Item_7.txt
ABG,Item_7A,145776,data\03_sections\ABG__10-K__0001144980-26-000051__Item_7A.txt
ABG,Item_9,99,data\03_sections\ABG__10-K__0001144980-26-000051__Item_9.txt
ABG,Item_9A,4582,data\03_sections\ABG__10-K__0001144980-26-000051__Item_9A.txt
ABG,Item_9B,241,data\03_sections\ABG__10-K__0001144980-26-000051__Item_9B.txt
ABG,Item_9C,114,data\03_sections\ABG__10-K__0001144980-26-000051__Item_9C.txt
ABG,Item_10,845,data\03_sections\ABG__10-K__0001144980-26-000051__Item_10.txt
ABG,Item_11,486,data\03_sections\ABG__10-K__0001144980-26-000051__Item_11.txt
ABG,Item_12,448,data\03_sections\ABG__10-K__0001144980-26-000051__Item_12.txt
ABG,Item_13,406,data\03_sections\ABG__10-K__0001144980-26-000051__Item_13.txt
ABG,Item_14,470,data\03_sections\ABG__10-K__0001144980-26-000051__Item_14.txt
ABG,Item_15,588,data\03_sections\ABG__10-K__0001144980-26-000051__Item_15.txt
ABG,Item_16,55,data\03_sections\ABG__10-K__0001144980-26-000051__Item_16.txt
ABG,Signatures,472,data\03_sections\ABG__10-K__0001144980-26-000051__Signatures.txt
ACI,HEADER,60042,data\03_sections\ACI__10-K__0001646972-24-000060__HEADER.txt
ACI,Item_1,22940,data\03_sections\ACI__10-K__0001646972-24-000060__Item_1.txt
ACI,Item_1A,71288,data\03_sections\ACI__10-K__0001646972-24-000060__Item_1A.txt
ACI,Item_1B,62,data\03_sections\ACI__10-K__0001646972-24-000060__Item_1B.txt
ACI,Item_1C,7097,data\03_sections\ACI__10-K__0001646972-24-000060__Item_1C.txt
ACI,Item_2,813,data\03_sections\ACI__10-K__0001646972-24-000060__Item_2.txt
ACI,Item_3,2403,data\03_sections\ACI__10-K__0001646972-24-000060__Item_3.txt
ACI,Item_4,77,data\03_sections\ACI__10-K__0001646972-24-000060__Item_4.txt
ACI,Item_5,2533,data\03_sections\ACI__10-K__0001646972-24-000060__Item_5.txt
ACI,Item_6,40,data\03_sections\ACI__10-K__0001646972-24-000060__Item_6.txt
ACI,Item_7,36061,data\03_sections\ACI__10-K__0001646972-24-000060__Item_7.txt
ACI,Item_7A,2524,data\03_sections\ACI__10-K__0001646972-24-000060__Item_7A.txt
ACI,Item_8,128457,data\03_sections\ACI__10-K__0001646972-24-000060__Item_8.txt
ACI,Item_9,131,data\03_sections\ACI__10-K__0001646972-24-000060__Item_9.txt
ACI,Item_9A,3059,data\03_sections\ACI__10-K__0001646972-24-000060__Item_9A.txt
ACI,Item_9B,252,data\03_sections\ACI__10-K__0001646972-24-000060__Item_9B.txt
ACI,Item_9C,124,data\03_sections\ACI__10-K__0001646972-24-000060__Item_9C.txt
ACI,Item_10,1127,data\03_sections\ACI__10-K__0001646972-24-000060__Item_10.txt
ACI,Item_11,444,data\03_sections\ACI__10-K__0001646972-24-000060__Item_11.txt
ACI,Item_12,457,data\03_sections\ACI__10-K__0001646972-24-000060__Item_12.txt
ACI,Item_13,414,data\03_sections\ACI__10-K__0001646972-24-000060__Item_13.txt
ACI,Item_14,396,data\03_sections\ACI__10-K__0001646972-24-000060__Item_14.txt
ACI,Item_15,380,data\03_sections\ACI__10-K__0001646972-24-000060__Item_15.txt
ACI,Item_16,55,data\03_sections\ACI__10-K__0001646972-24-000060__Item_16.txt
ACI,Signatures,504,data\03_sections\ACI__10-K__0001646972-24-000060__Signatures.txt
ACI,HEADER,55181,data\03_sections\ACI__10-K__0001646972-25-000052__HEADER.txt
ACI,Item_1,21865,data\03_sections\ACI__10-K__0001646972-25-000052__Item_1.txt
ACI,Item_1A,66698,data\03_sections\ACI__10-K__0001646972-25-000052__Item_1A.txt
ACI,Item_1B,41,data\03_sections\ACI__10-K__0001646972-25-000052__Item_1B.txt
ACI,Item_1C,7192,data\03_sections\ACI__10-K__0001646972-25-000052__Item_1C.txt
ACI,Item_2,812,data\03_sections\ACI__10-K__0001646972-25-000052__Item_2.txt
ACI,Item_3,2403,data\03_sections\ACI__10-K__0001646972-25-000052__Item_3.txt
ACI,Item_4,77,data\03_sections\ACI__10-K__0001646972-25-000052__Item_4.txt
ACI,Item_5,2826,data\03_sections\ACI__10-K__0001646972-25-000052__Item_5.txt
ACI,Item_6,40,data\03_sections\ACI__10-K__0001646972-25-000052__Item_6.txt
ACI,Item_7,39162,data\03_sections\ACI__10-K__0001646972-25-000052__Item_7.txt
ACI,Item_7A,2337,data\03_sections\ACI__10-K__0001646972-25-000052__Item_7A.txt
ACI,Item_8,126612,data\03_sections\ACI__10-K__0001646972-25-000052__Item_8.txt
ACI,Item_9,131,data\03_sections\ACI__10-K__0001646972-25-000052__Item_9.txt
ACI,Item_9A,3059,data\03_sections\ACI__10-K__0001646972-25-000052__Item_9A.txt
ACI,Item_9B,1879,data\03_sections\ACI__10-K__0001646972-25-000052__Item_9B.txt
ACI,Item_9C,124,data\03_sections\ACI__10-K__0001646972-25-000052__Item_9C.txt
ACI,Item_10,1091,data\03_sections\ACI__10-K__0001646972-25-000052__Item_10.txt
ACI,Item_11,444,data\03_sections\ACI__10-K__0001646972-25-000052__Item_11.txt
ACI,Item_12,457,data\03_sections\ACI__10-K__0001646972-25-000052__Item_12.txt
ACI,Item_13,414,data\03_sections\ACI__10-K__0001646972-25-000052__Item_13.txt
ACI,Item_14,426,data\03_sections\ACI__10-K__0001646972-25-000052__Item_14.txt
ACI,Item_15,380,data\03_sections\ACI__10-K__0001646972-25-000052__Item_15.txt
ACI,Item_16,55,data\03_sections\ACI__10-K__0001646972-25-000052__Item_16.txt
ACI,Signatures,504,data\03_sections\ACI__10-K__0001646972-25-000052__Signatures.txt
ACI,HEADER,54976,data\03_sections\ACI__10-K__0001646972-26-000032__HEADER.txt
ACI,Item_1,19064,data\03_sections\ACI__10-K__0001646972-26-000032__Item_1.txt
ACI,Item_1A,62094,data\03_sections\ACI__10-K__0001646972-26-000032__Item_1A.txt
ACI,Item_1B,41,data\03_sections\ACI__10-K__0001646972-26-000032__Item_1B.txt
ACI,Item_1C,7082,data\03_sections\ACI__10-K__0001646972-26-000032__Item_1C.txt
ACI,Item_2,893,data\03_sections\ACI__10-K__0001646972-26-000032__Item_2.txt
ACI,Item_3,2403,data\03_sections\ACI__10-K__0001646972-26-000032__Item_3.txt
ACI,Item_4,77,data\03_sections\ACI__10-K__0001646972-26-000032__Item_4.txt
