ticker,filename,status,old_md5,new_md5
UAA,UAA-UNDER ARMOUR INC-2023.pdf,only_in_old,9c1d662eb653f9223a54d695d0869648,
KSS,KSS-KOHL'S-2024.pdf,only_in_old,4eb20f0863dc7d6729132c6e1dce47d6,
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2023.pdf.pdf,only_in_old,c6ab1e89f160452fa9f1d067cd31048f,
GAP,GAP-GAP-2024.pdf,only_in_old,f7a908b5a0ef5606f9cfc7ab9b0fc989,
DECK,DECK-DECKERS OUTDOOR CORP-2021.pdf,only_in_old,e7fda031bd4c3951d1d334d53787056b,
TGT,TGT-TARGET CORP-2022.pdf,only_in_old,a289f1fea3d570aa74a9dc3d164c3eb3,
ETSY,ETSY-Etsy-2023.pdf,only_in_old,3cdef53823b360723cf0ef2a94ac44a3,
FIGS,FIGS-FIGS INC-2022.pdf,only_in_old,03a9909ad9e6a6f06324acdb34307932,
CVS,CVS-CVS HEALTH CORP-2025.pdf,only_in_old,3ae385287d7127a3f95b6038840df083,
NWL,NWL-NEWELL BRANDS INC-2021.pdf,only_in_old,ffb9b9368a38dab213f55638eb4c2f8c,
VFC,VFC-VF CORP-2023-2024.pdf,only_in_old,696d7c1c842576e4684d376f97d7eb88,
XOM,XOM-EXXON MOBIL CORP-2022.pdf,only_in_old,d6e6799e0b568e7e7510ecc1b2c03860,
RL,RL-RALPH LAUREN CORP-2023.pdf,only_in_old,f055ca32a0200b6f1f5a831b32347d2d,
WRBY,WRBY-WARBY PARKER INC-2023.pdf,only_in_old,19eb14c6e718a9ba9db85f3daf36c186,
ORLY,ORLY-O'REILLY AUTOMOTIVE INC-2022.pdf,only_in_old,9c8033d7263775ab10924cb21d14fd10,
BBW,BBW-BUILD-A-BEAR WORKSHOP INC-2024.pdf,only_in_old,ebee2faf24561ca26a85a35febec2161,
CRI,CRI-CARTER'S INC-2021.pdf,only_in_old,ac8c7fd9e3ce7747bcfbf74dd151c7d8,
FOSL,FOSL-FOSSIL GROUP INC-2023.pdf,only_in_old,069c26ab8c18e3c2270ac669c1afd42d,
BRLT,BRLT-BRILLIANT EARTH GP INC-2024.pdf,only_in_old,aab96b7a2fabf27e7c6667254acdc412,
BBY,BBY-BEST BUY CO INC-2021.pdf,only_in_old,737a2eec2fc9ca935e30f69833442fa5,
PTRN,PTRN-Pattern Group-2024(Italian).pdf,only_in_old,e5b8f81bb7710d59c204dad0c10220ac,
AMZN,AMZN-Amazon-2024.pdf,only_in_old,c673a0760bf98f278fbf1f09c3a78ba9,
LULU,LULU-LULULEMON ATHLETICA INC-2022.pdf,only_in_old,ef01dbc1ffab7bff07861c3adbcb4835,
WMT,WMT-WALMART INC-2024.pdf,only_in_old,6310abaa382ba71926e351d35f07c886,
ULTA,ULTA-ULTA BEAUTY INC-2021.pdf,only_in_old,2a7325d950435561b4e40d5678c3c64c,
Steve Madden Report 2020 Final.pdf,Steve Madden Report 2020 Final.pdf,only_in_old,786d444fb90a568a87b1965fc75f4e79,
HOOKER FURNISHINGS CORP,HOOKER FURNISHINGS CORP-HOFT-2024.pdf,only_in_old,e531d2d80bac7098afaecdb5ed1a16c1,
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2024.pdf,only_in_old,dec107ca21dd7c7f20c14dac51c048b2,
RL,RL-RALPH LAUREN CORP-2024.pdf,only_in_old,71daf26ba36533cbb6c9f958b3cf41b2,
XOM,XOM-EXXON MOBIL CORP-2025.pdf,only_in_old,88445b437b73e5b82f81babf2c0f7279,
