company,filename
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2024.pdf
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2023.pdf.pdf
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2022.pdf.pdf
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2021.pdf
BBWI,BBWI-BATH & BODY WORKS INC-2022.pdf
BBWI,BBWI-BATH & BODY WORKS INC-2023.pdf
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf
FIVE,FIVE-FIVE BELOW INC-2020.pdf
FIVE,FIVE-FIVE BELOW INC-2021.pdf
FIVE,FIVE-FIVE BELOW INC-2022.pdf
FIVE,FIVE-FIVE BELOW INC-2023.pdf
FIVE,FIVE-FIVE BELOW INC-2024.pdf
FIVE,FIVE-FIVE BELOW INC-2025.pdf
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2025.pdf
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2024.pdf
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2023.pdf
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2022.pdf
GROV,GROV-GROVE COLLABORATIVE HLDG INC-2021.pdf
FND,FND-FLOOR & DECOR HLDGS-2023.pdf
FND,FND-FLOOR & DECOR HLDGS-2022.pdf
LOW,LOW-LOWE'S COS INC-2024.pdf
LOW,LOW-LOWE'S COS INC-2023.pdf
LOW,LOW-LOWE'S COS INC-2022.pdf
LOW,LOW-LOWE'S COS INC-2021.pdf
HD,HD-HOME DEPOT INC-2024.pdf
HD,HD-HOME DEPOT INC-2023.pdf
HD,HD-HOME DEPOT INC-2022.pdf
HD,HD-HOME DEPOT INC-2021.pdf
HD,HD-HOME DEPOT INC-2020.pdf
BBY,BBY-BEST BUY CO INC-2024.pdf
BBY,BBY-BEST BUY CO INC-2023.pdf
BBY,BBY-BEST BUY CO INC-2022.pdf
BBY,BBY-BEST BUY CO INC-2021.pdf
BBY,BBY-BEST BUY CO INC-2020.pdf
TDUP,TDUP-THREDUP INC-2024.pdf
TDUP,TDUP-THREDUP INC-2023.pdf
TDUP,TDUP-THREDUP INC-2022.pdf
TDUP,TDUP-THREDUP INC-2021.pdf
NWL,NWL-NEWELL BRANDS INC-2025.pdf
NWL,NWL-NEWELL BRANDS INC-2024.pdf
NWL,NWL-NEWELL BRANDS INC-2023.pdf
NWL,NWL-NEWELL BRANDS INC-2022.pdf
NWL,NWL-NEWELL BRANDS INC-2021.pdf
WHR,WHR-WHIRLPOOL CORP-2025.pdf
WHR,WHR-WHIRLPOOL CORP-2024.pdf
WHR,WHR-WHIRLPOOL CORP-2023.pdf
WHR,WHR-WHIRLPOOL CORP-2022.pdf
WHR,WHR-WHIRLPOOL CORP-2021.pdf
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2024.pdf
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2023.pdf
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2022.pdf
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2021.pdf
SGI,SGI-SOMNIGROUP INTERNATIONAL INC-2020.pdf
LEG,LEG-LEGGETT & PLATT INC-2025.pdf
LEG,LEG-LEGGETT & PLATT INC-2021.pdf
LEG,LEG-LEGGETT & PLATT INC-2024.pdf
LEG,LEG-LEGGETT & PLATT INC-2023.pdf
LEG,LEG-LEGGETT & PLATT INC-2022.pdf
FLXS,FLXS-FLEXSTEEL INDUSTRIES INC-2024.pdf
