ticker,filename,kept_file_id,trashed_file_id
M,M-MACY_S INC-2018.pdf,1HVG9UMFr-wxLLv87rkkYZfuJteJlGloU,1LxdDG8l-rzuVVVCAhStFmxe_EBmoaM5O
M,M-MACY_S INC-2020.pdf,1jdEbdmBNPOXyc3SaOz0cWiK2U3dxjxCx,1rLsj-MgrwEvEm3lJ8-SWVGdj6BPjn49k
SHOO,SHOO-MADDEN STEVEN LTD-2019.pdf,1z76J-LIBsVrWLIYyGhwIyjgfMITd5MGS,1_VyWQhujj7GP2rqNYqaM1LX1d7SVMu8w
NKE,NKE-NIKE INC -CL B-2016-2017.pdf,1ASRXtrEmvAFYT3Z9nYO4UIT-8igV8rii,1hFPwN79KWE8cK2n2OqrJvYRkz3mg9l5-
NKE,NKE-NIKE INC -CL B-2014-2015.pdf,1YG-ysGZBAY-hqyYctFgIdmn9EKHq-P1o,1TrUKyqrXBTta6PERgt_t6aEqs-HqfOwC
DECK,DECK-IDECKERS OUTDOOR CORP-2018.pdf,1jP6NBzgXBYjytXd3FHeijf0gFRqwmt6b,1pqZHMy7J-uGidsX_Irx5wQOYTeKMv9Ez
WWW,WWW-WOLVERINE WORLD WIDE-2017.pdf,1J6N49uQsrAYnz5yqgeCJ433P3YRk951j,1hxXFd1mOlpOT3eBZQS0VhBjkB45TlbQh
WWW,WWW-WOLVERINE WORLD WIDE-2020.pdf,1O5D2DWbkpFenXX1eBsToBHdrnw8iEAIy,16a8QwetZ6WnKR9cmV7ttP6tI0Iepx7mG
TPR,TPR-TAPESTRY INC-2017.pdf,1anJQRcuswVFn4LID22-1LoO6kUPw0AFo,1sWO7KGKHnRlWMfZsimHqhg56pRVOMe6e
TPR,TPR-TAPESTRY INC-2019.pdf,1hpl7ju5bEADfpm-4wj_dObrVfUiSTgDT,1gaSc8NEVrICde6KYIM3t22R2pg2QiZBN
TPR,TPR-TAPESTRY INC-2016.pdf,1QaIiMtV8XRypS-U0PTFdly5d59-O5RtK,14teBeUE-Gukfe4t9TEroq6w5vekAjZsb
TPR,TPR-TAPESTRY INC-2015.pdf,1MVniPc-sF_yEHUgTba36tbeOUge8f0wP,1vms0Ydj9X0P5isi3VNPTyM2LMaY696ia
COLM,COLM-COLUMBIA SPORTSWEAR CO-2015.pdf,1rs38XWMu398BgGK3yZBiZIZxeUbXDo9f,1yBElUzLf3n1pcPvHIX4VMUEHEQy_3HC_
RL,RL-RALPH LAUREN CORP-2020.pdf,151kYo_O1UT0ey7oAAQFcq9pHs5ccQLwZ,1mnTHi0r8_kT37qD7QUuhBgVCZWcxtziq
LEVI,LEVI-LEVI STRAUSS & CO-2019.pdf,1Hy41kYBmOECu8BjcOx1JIZNKKhnhRpau,1at7W4MWpriryzyaUWMl_SANXRuHHL4TL
LEVI,LEVI-LEVI STRAUSS & CO-2020.pdf,1X_rjvphAWmQgjqexl30TCI2bcKnTjG7V,1aLKyXX2bqoCimVrAwmsK6K5xso1eP3vP
PVH,PVH-PVH CORP-2015.pdf,1_3Zx0GzsYs8J9OP4ccCKbu9PaaZWmv5O,1mu4NxHf8M0Yj82-eghsG_ILNAXfLZICT
PVH,PVH-PVH CORP-2016.pdf,15r2okZ2OXOWZBX485zsxazJokGVYBP5X,1LULBEZA3jdCwQJeVdsaHdZKOK-OtMqwG
PVH,PVH-PVH CORP-2019.pdf,1AS865Wul7xrZB5C-qYh1OqXlY-Xe4oSx,1TPegxpkvCnejCAELn2Yweqh5IySo3kSq
PVH,PVH-PVH CORP-2018.pdf,1MQnO-rYOSKkaT_23e3ooFA-i3myJj38U,1AIibUf3cgsli3-1m-YihKvUckqQ-TtRP
CAL,CAL-CALERES INC-2020.pdf,10hLN6AXKoRO_RHfObCAhvCcMAKtgUTIS,1HfoPlFgOc-bScfbbE5paNdeGRKohJSSz
